title,genre_1_name,vote_average,vote_count,popularity,release_year
A Bag of Hammers,Comedy,6.0,25.0,0.967134,2011
The Good Doctor,Drama,5.0,52.0,8.278079,2011
The Whale,Documentary,5.0,8.0,0.961196,2011
Admission,Comedy,5.5,307.0,10.098539,2013
Riverworld,Drama,4.3,14.0,1.650176,2010
The Flat,Documentary,6.4,8.0,1.117776,2011
Patience (After Sebald),Documentary,5.0,1.0,0.414932,2012
One Life,Family,7.2,24.0,5.389068,2011
Blue Caprice,Crime,5.8,42.0,3.897281,2013
Bad 25,Documentary,6.9,8.0,0.929422,2012
Evil Dead,Horror,6.4,1754.0,12.01525,2013
Trance,Thriller,6.5,975.0,7.876299,2013
Chasing Beauty,Documentary,6.5,4.0,0.191493,2013
Killing Bono,Comedy,6.3,26.0,2.271809,2011
Welcome to the Punch,Action,5.7,284.0,7.67857,2013
My Awkward Sexual Adventure,Comedy,5.6,60.0,3.751532,2012
Fly Me to the Moon,Comedy,5.6,196.0,7.881755,2012
Papadopoulos & Sons,Comedy,5.7,15.0,6.60279,2012
Better This World,Documentary,6.8,6.0,0.575473,2011
Skylab,Comedy,6.3,23.0,7.502597,2011
Putzel,Comedy,1.0,1.0,0.091852,2012
About Face: Supermodels Then and Now,Documentary,5.0,1.0,0.622835,2012
Racing Dreams,Documentary,6.8,9.0,0.890254,2010
Teenage Paparazzo,Documentary,6.4,9.0,0.912766,2010
Oblivion,Action,6.4,4862.0,14.654053,2013
Nazis at the Center of the Earth,Adventure,3.2,38.0,2.554387,2012
Siberian Education,Drama,6.7,138.0,13.631223,2013
Dark Tide,Thriller,4.8,61.0,5.405958,2012
Bones Brigade: An Autobiography,Documentary,7.9,20.0,1.045944,2012
To the Wonder,Drama,5.9,164.0,8.452485,2013
Happy,Drama,7.1,21.0,1.517025,2011
Seeking Asian Female,Documentary,5.0,1.0,0.336686,2012
U2: From the Sky Down,Music,6.5,7.0,0.333467,2011
Afghan Luke,Drama,4.8,7.0,5.114346,2011
Never Sleep Again: The Elm Street Legacy,Documentary,8.2,37.0,2.48821,2010
Disconnect,Drama,6.9,459.0,12.18812,2012
iSteve,Comedy,5.0,20.0,1.589559,2013
All American Orgy,Comedy,3.0,5.0,0.7402,2010
The Colors of the Mountain,Drama,7.5,14.0,0.847384,2011
Scary Movie 5,Comedy,4.6,813.0,14.27281,2013
Thor: Tales of Asgard,Adventure,6.2,53.0,1.697118,2011
To the Arctic,Documentary,5.7,7.0,1.926557,2012
Pain & Gain,Thriller,6.1,1595.0,9.218002,2013
The Holding,Thriller,5.6,11.0,1.430827,2011
Breaking Wind,Horror,3.7,61.0,3.488991,2012
A Band Called Death,Documentary,7.1,36.0,2.690008,2013
Home Run,Drama,6.3,25.0,1.472463,2013
Resolution,Horror,6.3,74.0,5.825388,2012
Grabbers,Science Fiction,6.0,140.0,9.609614,2012
Erased,Action,5.6,251.0,9.329974,2012
Justice League: Doom,Action,7.1,197.0,5.803594,2012
Living on One Dollar,Documentary,6.6,36.0,1.510944,2013
American Winter,Documentary,0.0,1.0,0.340861,2013
This Is the End,Action,6.2,2394.0,11.414048,2013
Iron Man 3,Action,6.8,8951.0,23.721243,2013
Revolution,Documentary,4.9,4.0,0.737019,2013
Superman: Unbound,Animation,6.6,109.0,7.389122,2013
The Numbers Station,Action,5.3,223.0,7.112624,2013
The English Teacher,Comedy,5.8,117.0,9.673017,2013
Standing Up,Drama,6.5,18.0,2.871891,2013
Late Autumn,Drama,6.9,22.0,1.077252,2010
Black Gold,Adventure,5.9,77.0,6.475665,2011
Mud,Drama,7.0,1080.0,7.881579,2013
L'industriale,Drama,5.0,13.0,1.025725,2011
Cheerful Weather for the Wedding,Drama,5.5,16.0,7.987933,2012
Small Apartments,Comedy,5.7,50.0,3.222525,2012
The Afflicted,Horror,4.0,12.0,0.437372,2011
Pawn,Crime,5.4,54.0,4.525671,2013
Manborg,Horror,5.0,24.0,2.274115,2011
Family Weekend,Comedy,6.2,64.0,3.931936,2013
8:46,Drama,6.5,4.0,0.714819,2011
Hungry for Change,Documentary,7.2,19.0,1.486697,2012
About Cherry,Drama,4.4,91.0,5.46567,2012
Sushi Girl,Thriller,5.4,46.0,5.538648,2012
Where The Road Meets The Sun,Drama,4.3,2.0,0.231304,2011
The Arrested Development Documentary Project,Documentary,6.2,7.0,1.135016,2013
Syrup,Drama,5.7,87.0,5.236985,2013
The Woman in the Fifth,Thriller,5.0,29.0,5.829328,2011
The Great Gatsby,Drama,7.3,3885.0,17.598936,2013
Lesson Plan,Documentary,0.0,0.0,0.006045,2010
My Sucky Teen Romance,Horror,6.1,7.0,0.879848,2011
Star Trek Into Darkness,Action,7.4,4479.0,15.78129,2013
Andrew Dice Clay: Indestructible,Comedy,0.0,0.0,0.011189,2012
Wish You Were Here,Drama,5.2,26.0,1.302359,2012
Reincarnated,Music,6.3,32.0,4.529236,2012
The Internship,Comedy,6.1,1691.0,0.393865,2013
The Flaying,Horror,6.0,1.0,0.047401,2012
"Aries Spears: Hollywood, Look I'm Smiling",Comedy,4.5,2.0,0.116648,2011
Kiss of the Damned,Thriller,4.9,44.0,11.397245,2012
Stories We Tell,Documentary,7.1,77.0,13.922815,2012
180° South: Conquerors of the Useless,Comedy,6.6,20.0,1.005463,2010
The Jeffrey Dahmer Files,Documentary,5.6,25.0,1.70827,2013
Cycling with Molière,Drama,6.7,63.0,3.239562,2013
Company of Heroes,War,5.4,47.0,3.924855,2013
The Dead Man and Being Happy,Drama,4.9,4.0,0.268524,2012
Livid,Horror,5.6,56.0,2.32335,2011
Only God Forgives,Drama,5.6,886.0,6.069475,2013
The Hangover Part III,Comedy,6.0,2991.0,25.085639,2013
Fast & Furious 6,Action,6.7,5282.0,1.657637,2013
Epic,Animation,6.4,1143.0,11.913405,2013
The Past,Drama,7.1,161.0,9.166555,2013
The Devil's Carnival,Horror,5.3,33.0,1.60037,2012
Frances Ha,Comedy,7.3,358.0,8.471415,2013
The Lords of Salem,Horror,5.1,244.0,9.981121,2012
Behind the Candelabra,Drama,6.6,307.0,7.339451,2013
L.A. Zombie,Horror,4.3,6.0,1.349654,2010
Earth's Final Hours,Science Fiction,4.8,18.0,1.396593,2011
Finding a Family,Drama,5.8,9.0,0.731987,2011
With Great Power: The Stan Lee Story,Documentary,5.3,6.0,2.017343,2010
Aftershock,Horror,5.3,110.0,8.367858,2012
3096 Days,Crime,6.6,121.0,7.089137,2013
The Human Scale,Documentary,5.4,5.0,1.459804,2013
The Last Elvis,Drama,5.3,5.0,0.678927,2012
Last Days Here,Documentary,7.5,11.0,0.570293,2011
After Earth,Science Fiction,5.0,2579.0,10.747642,2013
Fairhaven,Comedy,5.0,3.0,1.283474,2012
Now You See Me,Thriller,7.3,5635.0,17.852022,2013
Lovelace,Drama,6.0,234.0,6.383512,2013
A Dangerous Place,Crime,1.0,1.0,0.168055,2012
Dark Circles,Horror,4.9,35.0,6.708802,2013
Assault on Wall Street,Drama,5.8,215.0,7.089715,2013
Interview with a Hitman,Action,5.0,52.0,10.04115,2012
Special Forces,Action,6.4,132.0,5.3584,2011
Feeding Frenzy,Comedy,6.3,8.0,0.582453,2010
Age of Heroes,Drama,5.5,65.0,2.990369,2011
All In: The Poker Movie,Documentary,6.7,3.0,0.124581,2012
Nice Guy Johnny,Comedy,5.6,11.0,2.166081,2010
Take Me Home,Comedy,6.7,52.0,9.702695,2011
Somebody Up There Likes Me,Comedy,5.7,12.0,0.52137,2013
Mary and Martha,Drama,6.3,23.0,12.015917,2013
Redd Inc.,Thriller,5.5,28.0,5.411012,2012
Berberian Sound Studio,Horror,6.1,107.0,5.532455,2012
The Way Way Back,Comedy,7.1,695.0,10.342737,2013
Foxfire,Drama,5.5,17.0,7.025918,2012
Come Out and Play,Horror,5.0,35.0,8.568944,2012
Just Like Brothers,Comedy,6.7,55.0,3.130494,2012
The Body,Thriller,7.5,233.0,5.513308,2012
Much Ado About Nothing,Comedy,7.1,117.0,5.455903,2012
Any Day Now,Drama,6.6,22.0,10.559109,2012
No and Me,Drama,5.7,20.0,1.806222,2010
Man of Steel,Action,6.5,6462.0,18.538834,2013
The Kings of Summer,Comedy,7.0,427.0,6.25805,2013
The Big Wedding,Comedy,5.7,421.0,6.651605,2013
Still Mine,Drama,6.9,26.0,8.549448,2012
The Other Family,Drama,6.6,7.0,0.654032,2011
Birders: The Central Park Effect,Documentary,8.0,2.0,0.166566,2012
The Purge,Science Fiction,6.0,2498.0,23.207663,2013
God Bless Ozzy Osbourne,Documentary,5.3,11.0,0.420825,2011
The Reluctant Fundamentalist,Thriller,6.6,80.0,6.231928,2013
Rapture-Palooza,Comedy,4.9,91.0,9.603327,2013
20 Feet from Stardom,Documentary,7.4,85.0,8.283621,2013
Bad Blood: A Cautionary Tale,Documentary,0.0,0.0,0.006025,2010
The Bling Ring,Drama,5.3,1205.0,7.913029,2013
Monsters University,Animation,7.0,3622.0,16.267502,2013
Hammer of the Gods,History,4.4,95.0,5.093586,2013
6 Month Rule,Comedy,5.7,3.0,0.125429,2012
A Beginner's Guide to Endings,Comedy,6.4,11.0,0.564126,2010
The War You Don't See,Documentary,7.0,10.0,0.732773,2010
Eden,Drama,6.5,59.0,3.928695,2012
Days of Grace,Drama,6.1,5.0,1.350744,2011
A Place at the Table,Documentary,6.9,7.0,1.673307,2012
American Idiots,Comedy,4.3,9.0,0.618902,2013
Maniac,Horror,5.9,322.0,8.804658,2012
Not Suitable For Children,Comedy,5.3,49.0,6.431209,2012
A Common Man,Action,5.5,23.0,3.206962,2013
Pacific Rim,Action,6.7,4903.0,33.949359,2013
Lego Batman: The Movie - DC Super Heroes Unite,Animation,6.4,81.0,1.607783,2013
The Best Offer,Drama,7.7,719.0,8.995603,2013
Sassy Pants,Comedy,5.6,25.0,1.83717,2012
World War Z,Action,6.7,5683.0,26.114917,2013
Elysium,Science Fiction,6.4,3510.0,15.232738,2013
Dirty Wars,Documentary,7.1,58.0,6.413287,2013
Unconditional,Drama,6.3,29.0,7.536984,2012
We Steal Secrets: The Story of WikiLeaks,Documentary,6.2,58.0,8.469808,2013
The Revisionaries,Documentary,6.4,5.0,0.296815,2012
American Mary,Horror,5.8,167.0,9.912269,2012
Liz & Dick,Drama,4.1,15.0,1.267272,2012
Europa Report,Science Fiction,6.2,549.0,6.964263,2013
Odd Thomas,Mystery,6.6,370.0,7.090029,2013
Jim Gaffigan: Mr. Universe,Comedy,7.2,20.0,1.047845,2012
Despicable Me 2,Animation,7.0,4729.0,24.82355,2013
White House Down,Action,6.3,1910.0,9.920223,2013
The World's End,Comedy,6.7,1820.0,9.830382,2013
Keith Lemon: The Film,Comedy,2.7,11.0,0.941501,2012
Back to 1942,Drama,5.3,14.0,1.678013,2012
Hummingbird,Action,5.9,587.0,8.801032,2013
The Hounds,Horror,4.0,2.0,0.101706,2011
The Heat,Action,6.5,1595.0,12.706403,2013
The Last Seven,Thriller,3.3,9.0,0.719257,2010
The Lone Ranger,Action,5.9,2361.0,12.729104,2013
Happiness Never Comes Alone,Comedy,6.2,133.0,4.143244,2012
Woody Allen: A Documentary,Documentary,7.5,56.0,2.945649,2011
Passion,Thriller,5.1,146.0,10.260026,2012
Pussy Riot: A Punk Prayer,Music,7.1,22.0,0.870165,2013
How to Make Money Selling Drugs,Documentary,6.8,46.0,2.977883,2012
V/H/S/2,Horror,6.0,300.0,10.714779,2013
Arctic Blast,Science Fiction,4.5,39.0,5.270343,2010
Gideon's Army,Documentary,6.2,6.0,0.223415,2013
The Knot,Comedy,3.4,10.0,1.005983,2012
Cottage Country,Action,5.0,48.0,5.743909,2013
Food Matters,Documentary,7.2,24.0,3.292247,2010
The Spectacular Now,Comedy,6.8,1074.0,8.098964,2013
Thanks for Sharing,Comedy,5.7,164.0,11.26248,2012
The Lifeguard,Drama,5.2,126.0,5.499664,2013
Vile,Horror,4.8,51.0,5.003941,2011
What's in a Name,Drama,7.2,433.0,7.038718,2012
Big Star: Nothing Can Hurt Me,Documentary,6.8,10.0,0.742895,2013
Which Way Is The Front Line From Here? The Life and Time of Tim Hetherington,Documentary,7.4,4.0,0.153191,2013
Dead Man's Burden,Drama,5.3,6.0,0.845067,2012
Downloaded,Documentary,6.6,37.0,2.82234,2013
Jug Face,Horror,5.3,71.0,5.305049,2013
Sharknado,TV Movie,3.8,484.0,4.928195,2013
Craig Ferguson: I'm Here to Help,Comedy,5.9,7.0,0.429412,2013
Stuck in Love,Drama,7.3,657.0,6.715938,2012
How to Live Forever,Documentary,5.5,2.0,0.517199,2011
Fruitvale Station,Drama,7.3,397.0,13.305596,2013
R.I.P.D.,Fantasy,5.4,1280.0,9.369679,2013
The Client List,Drama,5.4,67.0,3.723562,2010
Justice League: The Flashpoint Paradox,Fantasy,7.3,458.0,9.527559,2013
United,Drama,7.0,39.0,3.412706,2011
Pawn Shop Chronicles,Action,5.6,74.0,6.637114,2013
Killing Season,Action,5.3,425.0,13.382027,2013
A Field in England,Drama,6.3,71.0,13.567726,2013
The Conjuring,Horror,7.4,3169.0,14.90169,2013
Love,Drama,5.4,74.0,3.760776,2011
Mean Girls 2,Comedy,5.1,281.0,7.515436,2011
The Colony,Action,5.2,465.0,9.726664,2013
A Warrior's Heart,Action,5.4,25.0,7.72479,2011
Scenic Route,Drama,6.2,82.0,5.471865,2013
The Cheshire Murders,Documentary,5.9,18.0,1.479249,2013
Dragon Age: Dawn of the Seeker,Fantasy,5.2,20.0,2.255852,2012
Gasland Part II,Documentary,7.5,11.0,0.405805,2013
Turbo,Animation,6.1,1094.0,8.979753,2013
The Devil's in the Details,Thriller,3.8,9.0,1.590978,2013
The Wolverine,Action,6.3,4110.0,3.918287,2013
Sol,Science Fiction,4.0,1.0,0.061257,2012
Gold,Adventure,5.5,15.0,4.77299,2013
The Crash Reel,Documentary,8.0,31.0,2.212038,2013
Drinking Buddies,Romance,6.0,361.0,7.745083,2013
Hell Baby,Comedy,4.9,93.0,4.899401,2013
RED 2,Action,6.4,1548.0,11.04233,2013
The Battery,Drama,6.1,86.0,3.530559,2012
Coffee Town,Comedy,6.7,45.0,3.024814,2013
Vehicle 19,Thriller,5.0,229.0,10.803734,2013
Black & White & Sex,Drama,6.3,12.0,1.2644,2012
Holidays by the Sea,Comedy,3.4,6.0,0.492842,2011
Revenge for Jolly!,Comedy,4.7,19.0,6.206395,2012
Night Train to Lisbon,Mystery,6.4,130.0,6.976215,2013
Mighty Uke,Documentary,0.0,0.0,0.011213,2011
2 Guns,Action,6.6,1611.0,13.336512,2013
First Comes Love,Documentary,6.0,1.0,0.11618,2013
Hell and Back Again,Documentary,6.6,13.0,0.990359,2011
The Last Days,Science Fiction,5.6,103.0,5.961623,2013
Our Nixon,Documentary,6.6,9.0,0.420779,2013
Darling Companion,Drama,5.3,22.0,1.629119,2012
Blue Jasmine,Comedy,7.0,1126.0,12.61244,2013
Frankenstein's Army,Action,5.7,70.0,5.451583,2013
The Great Beauty,Comedy,7.3,745.0,8.176134,2013
The Canyons,Thriller,4.1,75.0,4.281631,2013
Blood Shot,Action,4.1,11.0,1.393393,2013
"Love, Marilyn",Documentary,6.2,14.0,4.836391,2012
Beneath,Horror,3.8,23.0,7.244622,2013
Battle for Brooklyn,Documentary,5.0,1.0,0.053443,2011
Alcan Highway,Documentary,6.5,2.0,0.120931,2013
Louis C.K.: Oh My God,Comedy,7.7,66.0,3.460311,2013
Percy Jackson: Sea of Monsters,Adventure,5.9,1685.0,10.338222,2013
The Smurfs 2,Fantasy,5.5,711.0,10.640864,2013
Alan Partridge: Alpha Papa,Comedy,6.5,184.0,10.130541,2013
Computer Chess,Comedy,6.3,37.0,2.826746,2013
My Little Pony: Equestria Girls,Animation,7.1,41.0,8.353231,2013
Miss You Can Do It,Documentary,8.5,1.0,0.259069,2013
Jay and Silent Bob Go Down Under,Comedy,5.0,9.0,0.914668,2012
Prince Avalanche,Comedy,6.0,111.0,6.57698,2013
Green Lantern: Emerald Knights,Action,6.3,123.0,7.226834,2011
From One Second to the Next,Documentary,7.4,10.0,0.466299,2013
We're the Millers,Comedy,6.8,3053.0,18.474368,2013
Burning Bright,Drama,6.0,63.0,3.446584,2012
Grown Ups 2,Comedy,5.8,1180.0,9.411725,2013
DEFCON: The Documentary,Documentary,6.1,6.0,0.482542,2013
Jamie and Jessie Are Not Together,Comedy,4.6,4.0,0.527275,2011
Farmageddon,Documentary,4.8,6.0,0.286949,2011
Kick-Ass 2,Action,6.3,2275.0,13.570264,2013
Riddick,Science Fiction,6.2,2066.0,9.596377,2013
Planes,Animation,5.7,568.0,11.604181,2013
Blackfish,Documentary,7.9,456.0,5.495138,2013
Paranoia,Drama,5.6,358.0,7.249581,2013
The Legend of Kaspar Hauser,Comedy,6.9,10.0,1.031736,2012
The Wind Rises,Animation,7.7,720.0,9.310866,2013
Evidence,Horror,5.6,88.0,8.306389,2013
Jobs,Drama,6.0,1183.0,14.294019,2013
The Mortal Instruments: City of Bones,Action,6.2,1649.0,14.336187,2013
Hitler's Children,War,6.6,8.0,0.335585,2011
The First Grader,Romance,6.7,33.0,2.536406,2010
Touchy Feely,Drama,5.2,32.0,2.976672,2013
Four Horsemen,Documentary,7.2,10.0,0.394626,2012
It Happened in Saint-Tropez,Comedy,5.9,23.0,8.834976,2013
The Butler,Drama,7.2,1134.0,11.061894,2013
In a World...,Comedy,6.4,232.0,9.769134,2013
Terms and Conditions May Apply,Documentary,6.9,74.0,3.238145,2013
Alias Ruby Blade,Documentary,0.0,0.0,0.009794,2012
Museum Hours,Drama,6.3,19.0,2.225564,2012
Ain't Them Bodies Saints,Crime,6.1,144.0,5.086013,2013
Sunset Strip,Documentary,7.4,7.0,0.383737,2012
Wartorn: 1861-2010,Documentary,5.5,3.0,0.581084,2010
About Time,Comedy,7.8,2140.0,11.213913,2013
The Source Family,Music,6.0,8.0,0.296608,2011
Truth or Dare,Horror,5.7,119.0,4.711164,2012
Looking for Hortense,Drama,5.2,12.0,0.742452,2012
Justice League: Crisis on Two Earths,Action,7.1,152.0,6.108241,2010
Somewhere Between,Documentary,6.8,5.0,0.762853,2012
The Snows of Kilimanjaro,Comedy,6.7,26.0,2.129725,2011
Enter Nowhere,Mystery,6.5,49.0,3.205782,2011
Journey to Portugal,Romance,5.0,1.0,0.042926,2011
The Frozen Ground,Thriller,6.1,473.0,12.388833,2013
Blubberella,Horror,3.5,17.0,0.859908,2011
You're Next,Horror,6.6,787.0,6.464826,2011
Confine,Thriller,4.0,3.0,0.460859,2012
Sparrows Dance,Drama,7.5,5.0,0.742942,2013
Empire State,Action,4.9,229.0,9.003792,2013
Queen of Montreuil,Comedy,5.5,2.0,0.415904,2012
Crawlspace,Horror,4.7,37.0,4.606329,2012
The Ghostmaker,Horror,4.9,19.0,1.85213,2011
The Seasoning House,Horror,6.2,76.0,4.565307,2012
Family Band: The Cowsills Story,Documentary,9.0,1.0,0.063214,2011
The Chicago 8,Drama,5.0,2.0,0.974037,2011
The Stranger Within,Thriller,4.4,25.0,3.40629,2013
Adore,Drama,6.1,296.0,12.260159,2013
TT3D: Closer to the Edge,Documentary,8.0,44.0,2.73673,2011
The Lost Future,Adventure,4.6,65.0,3.099622,2010
Maria Bamford: The Special Special Special!,Comedy,6.6,5.0,0.402536,2012
Simon Killer,Drama,6.0,27.0,1.473161,2012
Dracula 3D,Horror,3.4,47.0,4.038628,2012
The Last of Robin Hood,Drama,5.7,23.0,11.096363,2013
The Suicide Shop,Comedy,6.2,169.0,5.496384,2012
Instructions Not Included,Comedy,7.5,210.0,6.507895,2013
Closed Circuit,Mystery,5.8,174.0,12.797172,2013
Euro Trapped,Comedy,3.5,5.0,1.715923,2013
Killjoy 3,Horror,4.8,9.0,1.108782,2010
Evocateur: The Morton Downey Jr. Movie,Documentary,6.3,4.0,0.196681,2013
Getaway,Action,4.9,248.0,13.224288,2013
A Teacher,Drama,4.5,32.0,2.957165,2013
Puppet Master: Axis of Evil,Horror,3.1,8.0,0.866995,2010
Three Worlds,Drama,5.5,6.0,0.554759,2012
I Am,Documentary,6.4,15.0,5.575762,2011
Hunky Dory,Music,5.5,9.0,0.915237,2011
American Vagabond,Documentary,7.0,1.0,0.064238,2013
The Story of Luke,Drama,6.1,19.0,2.097056,2013
Gravity,Science Fiction,7.3,5879.0,18.50194,2013
And Now a Word from Our Sponsor,Comedy,4.6,14.0,1.39366,2013
What If,Drama,6.7,688.0,10.841891,2013
Ping Pong,Documentary,8.0,2.0,0.112029,2012
Prisoners,Drama,7.9,3183.0,11.96262,2013
Out of the Furnace,Thriller,6.5,731.0,6.760321,2013
The Conspiracy,Horror,6.0,94.0,4.531007,2012
Good Vibrations,Music,6.6,32.0,2.390972,2012
Austenland,Comedy,6.6,192.0,8.076305,2013
Insidious: Chapter 2,Horror,6.5,1237.0,9.040324,2013
The Ultimate Life,Drama,6.5,15.0,1.779834,2013
Rush,Drama,7.7,2310.0,10.63552,2013
This Is Martin Bonner,Drama,6.6,4.0,0.553315,2013
The Family,Crime,6.1,1052.0,8.047735,2013
The Crimson Petal and the White,Romance,8.4,5.0,0.732176,2011
Almost Kings,Drama,10.0,2.0,0.167343,2010
Short Term 12,Drama,7.9,460.0,12.34835,2013
At Any Price,Drama,5.3,67.0,4.278909,2012
Salinger,Documentary,6.4,27.0,7.486516,2013
Tears of Steel,Science Fiction,5.3,18.0,3.611436,2012
Post Tenebras Lux,Drama,5.8,31.0,2.644964,2012
The To Do List,Comedy,5.5,348.0,7.081404,2013
Dragon Day,Drama,3.2,5.0,1.439026,2013
The Unspeakable Act,Drama,5.8,6.0,1.875791,2012
The Factory,Crime,5.5,110.0,7.913726,2012
Hawking,Documentary,7.9,14.0,1.505729,2013
Officer Down,Crime,5.4,31.0,2.900804,2013
Battle of the Year,Music,5.9,89.0,5.0739,2013
Louis Theroux: Twilight of the Porn Stars,Documentary,6.9,8.0,0.3172,2012
Afternoon Delight,Comedy,6.0,68.0,4.573796,2013
Casting By,Documentary,7.5,10.0,2.156181,2012
Repeaters,Science Fiction,5.7,56.0,2.668794,2010
Bare Knuckles,Action,6.0,1.0,0.327457,2010
Supporting Characters,Drama,6.8,11.0,1.304887,2012
Barricade,Horror,4.2,34.0,2.178305,2012
Bastards,Drama,6.1,34.0,2.16237,2013
Talking Funny,Comedy,7.3,22.0,1.102216,2011
Nebraska,Drama,7.4,648.0,11.160699,2013
Enough Said,Comedy,6.6,351.0,6.782909,2013
Don Jon,Romance,5.9,1708.0,10.948605,2013
Scatter My Ashes at Bergdorf's,Documentary,5.8,8.0,0.017563,2013
Zambezia,Comedy,5.3,69.0,8.825276,2012
Mood Indigo,Drama,6.0,199.0,8.23984,2013
Metallica: Through the Never,Music,6.7,86.0,5.229975,2013
Crystal Fairy & the Magical Cactus,Comedy,5.8,65.0,10.82388,2013
First Cousin Once Removed,Documentary,2.5,2.0,0.158211,2012
Machete Maidens Unleashed!,Documentary,6.9,18.0,0.943453,2010
I Will Follow You Into the Dark,Drama,4.4,23.0,1.940777,2012
Ferocious,Thriller,5.7,6.0,0.942526,2013
The Rise,Thriller,6.6,36.0,2.05703,2012
Bad Milo,Comedy,5.8,97.0,14.013119,2013
Twice Upon a Time,Drama,6.2,9.0,1.392492,2012
Runner Runner,Crime,5.5,547.0,8.864607,2013
Blue Is the Warmest Color,Romance,7.2,1114.0,4.938148,2013
Temptation: Confessions of a Marriage Counselor,Drama,6.6,43.0,2.557034,2013
Future Weather,Drama,6.3,7.0,1.128018,2012
Something in the Air,Romance,5.8,29.0,2.491193,2012
I Declare War,Action,6.1,28.0,1.706329,2013
This Is Our Time,Drama,5.5,2.0,0.306484,2013
Curse of Chucky,Horror,5.6,417.0,15.771245,2013
Muhammad Ali's Greatest Fight,Drama,5.9,10.0,1.656774,2013
A Cadaver Christmas,Comedy,6.1,8.0,0.367626,2011
Mariage à Mendoza,Comedy,5.0,6.0,1.007559,2013
Parkland,History,5.8,128.0,6.71518,2013
Imagine,Drama,7.3,11.0,2.110715,2012
Inequality for All,Documentary,7.6,45.0,2.818452,2013
On the Job,Action,6.2,32.0,2.934298,2013
Adventures of a Teenage Dragonslayer,Adventure,4.1,5.0,1.13577,2010
Cloudy with a Chance of Meatballs 2,Animation,6.4,936.0,14.412061,2013
Extraction,Action,5.5,13.0,2.477723,2013
Nobody Else But You,Comedy,5.9,28.0,3.352027,2011
The Dish & the Spoon,Drama,5.9,10.0,0.398922,2011
Kumail Nanjiani: Beta Male,Comedy,6.1,5.0,0.389546,2013
Captain Phillips,Action,7.6,2495.0,13.776068,2013
After the Dark,Drama,6.2,283.0,7.113372,2013
The Wall,Science Fiction,6.7,43.0,3.00007,2012
Valentine Road,Documentary,6.8,11.0,1.231287,2013
Another Harvest Moon,Drama,6.0,1.0,0.132857,2010
Beneath the Dark,Drama,5.0,16.0,5.415284,2010
An American Girl: McKenna Shoots for the Stars,Family,6.7,12.0,2.112566,2012
Zombie Apocalypse,Action,3.7,33.0,2.438909,2011
Machete Kills,Action,5.3,642.0,9.251084,2013
I am Fishead,Documentary,4.0,1.0,0.042368,2011
Filth,Crime,6.8,628.0,14.970485,2013
Romeo & Juliet,Drama,6.6,175.0,4.494988,2013
Sunshine on Leith,Music,6.6,46.0,2.279636,2013
Baggage Claim,Comedy,5.6,87.0,5.590678,2013
Zero Charisma,Comedy,6.1,18.0,2.02344,2013
Stitches,Horror,5.5,94.0,8.328705,2012
Escape Plan,Action,6.7,1688.0,14.191611,2013
Haute Cuisine,Comedy,6.1,87.0,4.64874,2012
Just Wright,Comedy,6.0,102.0,8.870325,2010
Carrie,Drama,5.8,1505.0,18.399055,2013
The Fifth Estate,Drama,5.7,368.0,10.850442,2013
Life According to Sam,Documentary,6.5,2.0,0.084083,2013
The Counselor,Thriller,5.0,724.0,14.723646,2013
The Congress,Drama,6.4,165.0,8.534039,2013
One Small Hitch,Romance,6.5,45.0,3.316857,2013
The Unbelievers,Documentary,6.7,55.0,10.068759,2013
Escape from Tomorrow,Horror,4.8,88.0,4.318643,2013
Undocumented,Horror,6.6,10.0,0.986401,2010
Bloody Bloody Bible Camp,Comedy,5.3,10.0,0.912915,2012
The Double,Thriller,6.5,344.0,7.597475,2014
Deep Dark Canyon,Action,5.0,16.0,3.927043,2013
12 Years a Slave,Drama,7.9,3787.0,30.316249,2013
The Trouble with the Truth,Drama,6.3,4.0,0.15837,2011
The Right Kind of Wrong,Romance,6.0,99.0,5.746841,2013
Kill Your Darlings,Drama,7.1,455.0,7.075031,2013
Mía,Drama,7.7,3.0,0.162432,2011
Barrio Tales,Horror,4.2,5.0,0.690089,2012
The Day of the Crows,Animation,6.7,25.0,2.18722,2012
Bridegroom,Documentary,7.5,38.0,1.642017,2013
Spinning Plates,Documentary,5.6,5.0,0.270922,2013
All Is Lost,Action,6.6,679.0,12.74965,2013
Arthur Newman,Drama,5.6,63.0,4.469269,2012
Ender's Game,Science Fiction,6.6,2354.0,12.500305,2013
TWA Flight 800,Documentary,5.3,3.0,0.955426,2013
Toy Story of Terror!,Animation,7.3,246.0,0.512025,2013
The Last Days on Mars,Science Fiction,5.2,304.0,9.113415,2013
Bad Grandpa,Comedy,6.0,688.0,8.000867,2013
Freaky Deaky,Comedy,4.9,19.0,7.829016,2012
Thor: The Dark World,Action,6.8,4873.0,34.905447,2013
Shock and Awe: The Story of Electricity,Documentary,0.0,0.0,0.007123,2011
Dallas Buyers Club,Drama,7.9,2973.0,14.785719,2013
Gambit,Comedy,5.1,224.0,7.60849,2012
Marc Maron: Thinky Pain,Comedy,7.8,11.0,0.45759,2013
Beatdown,Adventure,5.3,10.0,4.476116,2010
You May Not Kiss the Bride,Action,5.6,60.0,9.664896,2011
The Selfish Giant,Drama,7.2,83.0,5.921419,2013
More Than Honey,Documentary,6.9,35.0,3.289057,2012
